,Aprašymas,Buto nuoroda,Buto kaina,Plotas,Širdutės,Skelbimo data,Koregavimo data,Perziurejo skelbimą,Kambarių skaičius,Aukštas,Viso aukštų,Statybos metai,Pastato tipas,Šildymas,Įrengimas,Nauja statyba,Rajonas,Kainauzkvadrata
0," Šnipiškės, Šeimyniškių g., 2 kambarių butas",www.aruodas.lt/1-3002897,135000,41.12,22,2021-02-23,2021-04-06,0,2,2,9,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Šnipiškės,3283.0739299610896
1," Santariškės, Mykolo Marcinkevičiaus g., 2 kambarių butas",www.aruodas.lt/1-3019011,117000,56.8,30,2021-04-05,2021-04-07,1,2,5,6,2001,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Santariškės,2059.8591549295775
2," Naujamiestis, Savanorių pr., 2 kambarių butas",www.aruodas.lt/1-3019965,72000,44.08,16,2021-04-07,2021-04-07,1,2,3,5,1964,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,1633.393829401089
3," Viršuliškės, Viršilų g., 3 kambarių butas",www.aruodas.lt/1-3017227,105600,51.38,9,2021-03-31,2021-03-31,1,3,7,20,2021,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Viršuliškės,2055.2744258466328
4," Viršuliškės, Viršuliškių g., 2 kambarių butas",www.aruodas.lt/1-3017185,95900,53.34,10,2021-03-31,2021-03-31,1,2,2,11,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Viršuliškės,1797.9002624671914
5," Justiniškės, Rygos g., 3 kambarių butas",www.aruodas.lt/1-3015875,88500,62.55,29,2021-04-07,2021-04-08,0,3,8,9,1984,Blokinis,"Centrinis, elektra",Įrengtas,Sena statyba,Justiniškės,1414.8681055155876
6," Antakalnis, Pylimėlių g., 3 kambarių butas",www.aruodas.lt/1-2997229,114000,66.53,37,2021-03-29,2021-04-07,1,3,1,3,2019,Mūrinis,Dujinis,Dalinė apdaila ,Nauja statyba,Antakalnis,1713.5127010371261
7," Naujamiestis, Gerosios Vilties g., 2 kambarių butas",www.aruodas.lt/1-3015621,97600,44.0,25,2021-04-06,2021-04-07,1,2,3,6,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujamiestis,2218.181818181818
8," Šeškinė, Musninkų g., 2 kambarių butas",www.aruodas.lt/1-3019531,78000,49.63,20,2021-04-06,2021-04-06,1,2,5,5,1980,Mūrinis,Centrinis,Įrengtas,Sena statyba,Šeškinė,1571.6300624622204
9," Naujamiestis, Savanorių pr., 2 kambarių butas",www.aruodas.lt/1-3019533,78000,44.6,11,2021-04-06,2021-04-07,1,2,5,5,1964,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,1748.8789237668161
